service_name_en,service_name_fr,external_internal,service_type,service_description_en,service_description_fr,authority_en,authority_fr,program_name_en,program_name_fr,client_target_groups,cra_business_number,e_registration,e_authentication,e_application,e_decision,e_issuance,e_feedback,owner_org,fiscal_yr,service_id_number,special_designations,service_url_en,service_url_fr,program_id_code,service_fee,use_of_sin,online_applications,web_visits_info_service,calls_received,in_person_applications,email_applications,fax_applications,postal_mail_applications,client_feedback,special_remarks_en,Org Name,Service_Unique_Identifier,New_Service_ID,Edited_Service_Name_EN,Edited_Service_Name_FR
AgriCompetitiveness Program Fostering Business Development,"Programme Agri-compétitivité, volet Favoriser le développement des entreprises",EX,RES,"Provides support to national not-for-profit organizations to undertake activities that support agri-businesses to transition, adapt and improve their profitability and resilience by nurturing entrepreneurial capacity.","Offre de l'aide aux organisations nationales sans but lucratif pour réaliser des activités permettant aux entreprises agricoles d'effectuer la transition, de s'adapter et d'améliorer leur rentabilité et leur résilience en développant la capacité entrepreneuriale.",TB Submission,Présentation au Conseil du Trésor,AgriCompetitiveness,Agri-compétitivité,ES,N,NA,NA,Y,Y,N,N,aafc-aac,2016-2017,11,8,,,2.2.2,N,,1,,0,0,,,0,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-11,aafc-aac - 11,"aafc-aac - AgriCompetitiveness
",
Agricultural Youth Green Jobs Initiative,Initiative de stage en agroenvironnement,EX,RES,Help fund internships for post-secondary graduates working in the agriculture industry,Aide à financer des stages à l'intention des détenteurs d'un diplôme d'études postsecondaires qui travaillent dans le secteur agricole.,TB Submission,Présentation au Conseil du Trésor,Career Focus Program (AYGJI is an initiaitve under te borader YES Career Focus program),Programme Objectif carrière (initiative de stage en agroenvironnement de la SEJ - Objectif carrière),ES,N,NA,NA,Y,Y,N,N,aafc-aac,2016-2017,12,8,,,2.2.2,N,,202,,0,0,,,0,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-12,aafc-aac - 12,aafc-aac - Agricultural Youth Green Jobs Initiative,
Canadian Agricultural Adaptation Program (2014-2019),"Programme canadien d'adaptation agricole
(2014-2019)",EX,RES,"Provides support to the agriculture, agri-food, and agri-based products sector to seize opportunities, respond to new and/or emerging issues, and pathfind and/or pilot solutions to new and ongoing issues to adapt and remain competitive.","Aide le secteur de l'agriculture, de l'agroalimentaire et des produits agroindustriels à saisir les débouchés, à réagir aux enjeux nouveaux et émergents et à trouver et à tester des solutions aux problèmes nouveaux et courants afin de s'adapter et de demeurer concurrentiel.",TB Submission,Présentation au Conseil du Trésor,Canadian Agricultural Adaptation Program,Programme canadien d'adaptation agricole,IO,NA,NA,NA,Y,Y,N,N,aafc-aac,2016-2017,13,8,,,2.2.7,N,,15,,0,0,,,0,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-13,aafc-aac - 13,"aafc-aac - Canadian Agricultural Adaptation Program 
",
Agricultural Greenhouse Gas Program,Programme de lutte contre les gaz à effet de serre en agriculture,EX,RES,Helps producers find ways to mitigate greenhouse gas (GHG) emissions from their farming operations,Aide les producteurs à trouver des moyens d'atténuer les émissions de gaz à effet de serre (GES) liées à leurs activités agricoles.,TB Submission,Présentation au Conseil du Trésor,Agricultural Greenhouse Gases,Programme de lutte contre les gaz à effet de serre en agriculture,IO,NA,NA,NA,Y,Y,N,N,aafc-aac,2016-2017,14,8,,,2.1.7,N,,45,,0,0,,,0,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-14,aafc-aac - 14,aafc-aac - Agricultural Greenhouse Gas Program,
Market Access Single Window - International Trade Shows,Guichet unique pour l'accès aux marchés - Salons commerciaux internationaux,EX,AD,"Provides support to enable Canada's presence at international food, fish and seafood shows.","Offre de l'aide pour faciliter la présence du Canada dans les salons internationaux axés sur les aliments, le poisson et les fruits de mer.",TB Submission/A-base,Présentation au Conseil du Trésor / services votés,International Trade Shows,Salons commerciaux internationaux,ES,N,Y,Y,Y,Y,Y,Y,aafc-aac,2016-2017,15,8,,,1.2,N,,320,,40,0,,,0,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-15,aafc-aac - 15,aafc-aac - Market Access Single Window - International Trade Shows,
Market Access Single Window - Market Intelligence and Information Services,Guichet unique pour l'accès aux marchés - Services de renseignements sur les marchés,EX,AD,"Provides market intelligence reports and trade data to the agriculture, agri-food and seafood industries to increase the Canadian sector's competitiveness in global markets and provides coordinated direct market research reports through provinces to industry to help increase their international business knowledge in order to make more informed business decisions","Offre des rapports sur les marchés et des données commerciales aux industries agricoles, agroalimentaires et des produits de la mer afin d'accroître la compétitivité du secteur canadien sur les marchés mondiaux, et fournit à l'industrie des rapports coordonnés sur les études de marché par l'entremise des provinces  afin d'améliorer ses connaissances sur le commerce international et de lui permettre de prendre de meilleures décisions d'affaires.",TB Submission/A-base,Présentation au Conseil du Trésor / services votés,Market Intelligence and Information Services,Services de renseignements sur les marchés,ES,N,NA,NA,Y,Y,Y,Y,aafc-aac,2016-2017,16,8,,,1.2,N,,293,,0,0,,,0,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-16,aafc-aac - 16,aafc-aac - Market Access Single Window - Market Intelligence and Information Service,
Market Access Single Window - Market Access Services,Guichet unique pour l'accès aux marchés - Services d'accès aux marchés,EX,AD,"Provides a single window email account that allows for 2-way communication with external stakeholders (industry, provinces, territories) on market access through three functions: -Incoming requests for information from outside stakeholders; - Mechanism to broadcast messages of wide interest to stakeholders; - Mechanism to solicit information or feedback from outside stakeholders","Offre un compte courriel à guichet unique qui permet une communication bilatérale avec des intervenants externes (industrie, provinces, territoires) sur l'accès aux marchés grâce à trois fonctions : il répond aux demandes d’information des intervenants externes; il diffuse des messages d’intérêt général aux intervenants; il sollicite de l’information ou des commentaires auprès des intervenants externes",TB Submission/A-base,Présentation au Conseil du Trésor / services votés,Market Access Services,Services d'accès aux marchés,ES,N,NA,NA,Y,Y,Y,Y,aafc-aac,2016-2017,17,8,,,1.2,N,,355,,0,0,,,0,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-17,aafc-aac - 17,aafc-aac - Market Access Single Window - Market Access Services,
Market Access Single Window - Canada Brand and Market Development,Guichet unique pour l'accès aux marchés - Marque Canada et développement des marchés,EX,AD,"Provides the Canadian food and agriculture industry with a competitive advantage, internationally and at home, through a set of tools to positively differentiate the sector.",Offre à l'industrie canadienne de l'alimentation et de l'agriculture un avantage concurrentiel au pays et à l'étranger grâce à différents outils permettant de différencier positivement le secteur,TB Submission/A-base,Présentation au Conseil du Trésor / services votés,Canada Brand and Market Development,Marque Canada et développement des marchés,ES,N,Y,Y,Y,Y,Y,Y,aafc-aac,2016-2017,18,8,,,1.2,N,,42,,0,0,,,0,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-18,aafc-aac - 18,aafc-aac - Market Access Single Window - Canada Brand and Market Development,
Saint-Hyacinthe Research and Development Centre's Industrial Program,Programme industriel du Centre de recherche et de développement de Saint-Hyacinthe,EX,RES,Provides clients with direct access to sophisticated equipment and a versatile R&D environment to support agri-food companies with small-scale food processing and testing needs and fosters innovation in the area of food research.,Donne aux clients un accès direct à l'équipement de pointe et à un environnement de R-D polyvalent pour aider les entreprises agroalimentaires à répondre à leurs besoins de transformation d'aliments et d'évaluation à petite échelle et pour favoriser l'innovation dans le domaine de la recherche sur les aliments.,A-Based/Order in Council,Services votés / décret,Agriculture and Agri-Food Canada Food Research and Development Centre's Industrial Program,Programme industriel du Centre de recherche et de développement de Saint-Hyacinthe,ES,N,Y,NA,Y,Y,N,Y,aafc-aac,2016-2017,19,8,,,2.1.1,Y,,38,,0,0,,,0,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-19,aafc-aac - 19,aafc-aac - Saint-Hyacinthe Research and Development Centre's Industrial Program,
Office of Intellectual Properties and Commercialization (OIPC),Bureau de la propriété intellectuelle et de la commercialisation (BPIC),EX,RES,Supports the development and transfer of the results of research efforts by the Science and Technology Branch (STB) of Agriculture and Agri-Food Canada (AAFC).,Appuie le développement et le transfert des résultats des activités de recherche par la Direction générale des sciences et de la technologie (DGST) d'Agriculture et Agroalimentaire Canada (AAC).,A-Base,Services votés,Office of Intellectual Properities and Commercialization,Bureau de la propriété intellectuelle et de la commercialisation,ES,N,NA,NA,Y,Y,N,Y,aafc-aac,2016-2017,20,8,,,2.1,N,,620,,620,0,,,105,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-20,aafc-aac - 20,aafc-aac - Office of Intellectual Property and Commercialization (OIPC),
Drought Watch,Guetter la sécheresse,EX,RES,"Provides users with current and historic weather and climate conditions, to see how current conditions differ from normal, to see where and how weather and climate conditions and events are impacting the sector, to view short-term forecasting products, and to learn about ways to mitigate and adapt to the impacts of weather and climate on agricultural operations.","Fournit aux utilisateurs les conditions météorologiques et climatiques courantes et historiques pour voir comment les conditions actuelles diffèrent de la normale, pour comprendre où et comment les conditions et les phénomènes météorologiques et climatiques influent sur le secteur, pour voir les produits de prévisions à court terme et pour se renseigner sur les façons d'atténuer les effets des conditions météorologiques et du climat sur les activités agricoles et s'y adapter.",A-Base,Services votés,Drought Watch,Guetter la sécheresse,ES,N,NA,NA,NA,NA,Y,NA,aafc-aac,2016-2017,21,8,,,2.1.1,N,,16237,,0,0,,,0,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-21,aafc-aac - 21,aafc-aac - Drought Watch,
Canadian Soil Information System (CanSIS),Système d’information sur les sols du Canada (SISCan),EX,RES,"CanSIS works in partnership with the provincial soil mapping groups to maintain and provide access to Canada’s detailed and high level soils data, and other related information.",SISCan collabore avec des groupes provinciaux de cartographie du sol pour maintenir et offrir l'accès aux données détaillées de haut niveau sur les sols du Canada et d'autres renseignements connexes.,N/A,S.O.,Canadian Soil Information System,Système d’information sur les sols du Canada,ES,N,NA,NA,NA,NA,Y,NA,aafc-aac,2016-2017,22,8,,,2.1.1,N,,17531,,0,0,,,0,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-22,aafc-aac - 22,"aafc-aac - Canadian Soil Information Service
 (CanSIS)",
Geospatial Products,Produits géospatiaux,EX,RES,"Provides online access to agriculture-related maps, geospatial data and tools to help clients understand the geography of agriculture and make better decisions for environmentally responsible yet competitive agriculture",Offre un accès en ligne aux cartes données géospatiales et outils liés à l'agriculture pour aider les clients à comprendre la géographie de l'agriculture et à prendre de meilleures décisions pour une agriculture respectueuse de l'environnement tout en étant compétitives.,A-Based/Order in Council,Services votés / décret,Geospatial Products,Produits géospatiaux,ES,N,NA,NA,NA,NA,Y,NA,aafc-aac,2016-2017,23,8,,,2.1.1,N,,7256,,10,20,,,50,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-23,aafc-aac - 23,aafc-aac - Geospatial Products,
ATIP Services,Services de l'AIPRP,EX,RES,Provide services to requestors that want to get access to governement records.,Offre des services aux demandeurs qui veulent accéder aux dossiers du gouvernement.,Access to information Act and Privacy Act,Loi sur l'acces a l'information et protection des renseignements personnels,ATIP,AIPRP,PP,NA,Y,Y,Y,N,N,Y,aafc-aac,2016-2017,24,8,,,3.1.2,Y,,125,,0,0,,,109,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-24,aafc-aac - 24,aafc-aac - ATIP Services,
"Churchill Port Utilisation Program PORT CLOSED MARCH 31, 2017",Programme d'utilisation du port de Churchill - FERMETURE DU PORT LE 31 MARS 2017,EX,RES,Provides support to legal entities that arrange for and transact the shipment of eligible grain through the Port of Churchill outward on ocean-going vessels. (Expires March 2017),Offre un soutien aux personnes morales qui organisent et négocient l'expédition de grains admissibles à bord de navires océaniques en partance du port de Churchill. (Achevé en mars 2017),TB Submission,Présentation au Conseil du Trésor,Churchill Port Utilization Program,Programme d'utilisation du port de Churchill,ES,N,NA,NA,Y,Y,N,N,aafc-aac,2016-2017,25,8,,,2.2.6,N,,5,,0,0,,,0,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-25,aafc-aac - 25,"aafc-aac - Churchill Port Utilisation Program PORT CLOSED MARCH 31, 2017",
Carrier Code Application,Demande de code de transporteur,EX,REG,This service allows for application of a carrier code to establish identity and is required to transact business with the CBSA.,"Ce service permet de demander un code de transporteur, qui sert à établir l'identité, et qui est nécessaire pour faire affaire avec l'ASFC.",Customs Act,Loi sur les douanes,  Admissibility Determination,Détermination de l'admissibilté,ES,N,NA,N,N,Y,Y,Y,cbsa-asfc,2016-2017,1,1,,,1.3,N,,2492,,0,0,,,717,,,Canada Border Services Agency | Agence des services frontaliers du Canada,2016-2017-cbsa-asfc-1,cbsa-asfc - 01,cbsa-asfc - Carrier Code Application,
Electronic Data Interchange (EDI) Application for Advance Commercial Information (ACI),Demande d'échange de données informatisé (EDI) pour l'Information préalable sur les expéditions commerciales (IPEC),EX,REG,"This service provides businesses with the ability and authorization to electronically transmit their pre-arrival information either via the eManifest Portal through the Internet or by EDI to the CBSA's host system. Businesses and their service providers who choose to use one of the EDI options to transmit electronic commerce data to the CBSA must apply to the CBSA. eManifest requires all carriers, freight forwarders and importers to send ACI about their shipments electronically to the CBSA.","Ce service offre aux entreprises la capacité et l'autorisation de transmettre par voie électronique leurs données préalables à l'arrivée par le truchement du portail du Manifeste électronique, d'Internet ou de l'EDI au système hôte de l'ASFC. Les entreprises et leurs fournisseurs de services qui choisissent d'utiliser une des options de l'EDI pour transmettre les données du commerce électronique à l'ASFC doivent en faire la demande à celle-ci. Selon le Manifeste électronique, tous les transporteurs, les agents d'expédition et les importateurs doivent envoyer l'IPEC au sujet de leur expéditions par voie électronique à l'ASFC.",Customs Act,Loi sur les douanes,Admissibility Determination,Détermination de l'admissibilté,ES,N,NA,N,N,Y,NA,Y,cbsa-asfc,2016-2017,2,1,,,1.3,N,,2665,,0,0,,,35,,,Canada Border Services Agency | Agence des services frontaliers du Canada,2016-2017-cbsa-asfc-2,cbsa-asfc - 02,cbsa-asfc - Electronic Data Interchange (EDI) – Application and Testing Process,
Courier Low Value Shipments (CLVS) Program Application,Demande de programme des messageries d'expéditions de faible valeur (EFV),EX,REG,"The Courier Low Value Shipments (CLVS) Program expedites the importation of goods into Canada of approved shipments worth CAN$2,500 or less.  This program is available for both casual and commercial shipments.  Commercial Carriers/Couriers that want to participate in the Courier Low-Value Shipment (LVS) program must first submit an application.",Le programme des messageries d’expéditions de faible valeur accélère l’importation des marchandises au Canada pour les expéditions autorisées d’une valeur de 2 500 $ CAN ou moins. Le programme est offert pour les expéditions occasionnelles ou commerciales. Les transporteurs commerciaux et les services de messagerie qui souhaitent participer au programme des messageries d’expéditions de faible valeur doivent d’abord présenter une demande d’adhésion.,Customs Act,Loi sur les douanes, Admissibility Determination,Détermination de l'admissibilté,ES,N,NA,N,N,Y,NA,Y,cbsa-asfc,2016-2017,3,8,,,1.3,N,,0,,0,0,,,5,,,Canada Border Services Agency | Agence des services frontaliers du Canada,2016-2017-cbsa-asfc-3,cbsa-asfc - 03,cbsa-asfc - Courier Low Value Shipments (CLVS) Program Application,
Trusted Trader Application- Partners in Protection (PIP),Demande de négociant digne de confiance - Partenaires en protection (PEP),EX,REG,"A cooperative program between private industry and the CBSA designed to streamline and make border processes more efficient for low-risk, pre-approved businesses recognized as trusted traders. Membership requires the completion of a two part application process.","Il s’agit d’un programme de coopération entre l’ASFC et le secteur privé qui vise à rationaliser les processus frontaliers et à les rendre plus efficaces pour les entreprises à faible risque préapprouvées reconnues comme des négociants dignes de confiance. Pour adhérer au programme, les deux volets du processus de demande doivent être achevés.",Customs Act,Loi sur les douanes,Trusted Trader,Négociants dignes de confiance,ES,Y,Y,Y,Y,Y,Y,Y,cbsa-asfc,2016-2017,4,1,,,1.2.2,N,,201,,0,0,,,0,,,Canada Border Services Agency | Agence des services frontaliers du Canada,2016-2017-cbsa-asfc-4,cbsa-asfc - 04,cbsa-asfc - Trusted Trader Application- Partners in Protection (PIP),
Trusted Trader Application- Customs Self-Assessment (CSA),Demande de négociant digne de confiance - Programme d'autocotisation des douanes (PAD),EX,REG,"Membership for low-risk, pre-approved importers, carriers and registered drivers that simplifies many of the import border requirements to process low-risk shipments  more quickly and efficiently at the border. Membership requires the completion of a two part application process.","Il s’agit d’un programme d’adhésion pour les importateurs, les transporteurs et les chauffeurs inscrits préapprouvés qui présentent un faible risque; ce programme simplifie un grand nombre des exigences frontalières relatives aux importations afin que les expéditions à faible risque soient traitées plus rapidement et efficacement à la frontière. Pour adhérer au programme, les deux volets du processus de demande doivent être achevés.",Customs Act,Loi sur les douanes,Trusted Trader,Négociants dignes de confiance,ES,Y,NA,N,N,N,N,N,cbsa-asfc,2016-2017,5,1,,,1.2.2,N,,0,,0,0,,,56,,,Canada Border Services Agency | Agence des services frontaliers du Canada,2016-2017-cbsa-asfc-5,cbsa-asfc - 05,cbsa-asfc - Trusted Trader Application- Customs Self-Assessment (CSA),
Customs Bonded Warehouse Licence Application,Agrément d'entrepot de stockage des douanes,EX,REG,"The CBSA receives and processes Customs Bonded Warehouse applications that allows private sector operated facilities (regulated by the CBSA) to store imported goods with a complete deferral of customs duties, anti-dumping and countervailing duties and excise duties and taxes, including the goods and services tax and the harmonized sales tax. Importers only pay duties and taxes on the portion of goods entering the Canadian market.","L'ASFC reçoit et traite les demandes d'agrément d'entrepôt de stockage des douanes permettant au installations du secteur privé (réglementées par l'ASFC) de stocker des marchandise importées avec report complet des droits de douanes, des droits antiduping et compensateurs et des droits et taxes d'accise, notament la taxe sur les produits et services et la taxe de vente harmonisée. Les importateurs ne paient des droits et taxes que sur la portion des marchandises qui entre sur le marché canadien.",Customs Tariff,Tarif des douanes,Trade Compliance,Conformité dans les programmes commerciaux,ES,Y,NA,N,N,N,N,N,cbsa-asfc,2016-2017,6,8,,,1.7.3,N,,0,,0,0,,,15,,,Canada Border Services Agency | Agence des services frontaliers du Canada,2016-2017-cbsa-asfc-6,cbsa-asfc - 06,cbsa-asfc - Customs Bonded Warehouse Licence Application,
Customs Sufferance Warehouse Licence Application,Agrément d'entrepôt d'attente des douanestbe,EX,REG,"An application to operate a customs sufferance warehouse is sent to the CBSA, which must ensure that the applicant meets the requirements as stated under the Customs Sufferance Warehouses Regulations. If all regulatory requirements are satisfied, the CBSA will issue a licence to operate a sufferance warehouse.","Lorsqu'une demande pour opérer à titre d'entrepôt d'attente des douanes est envoyée à l'ASFC, celle-ci doit s’assurer que le demandeur répond aux exigences prévues par le Règlement sur les entrepôts d’attente des douanes. S’il est répondu à toutes les exigences réglementaires, l’ASFC délivre l’agrément pour opérer à titre d’entrepôt d’attente.",Customs Act,Loi sur les douanes,Trade Policy,Politique commerciale,ES,Y,NA,N,N,N,N,Y,cbsa-asfc,2016-2017,7,8,,,1.7.2,N,,0,,0,0,,,29,,,Canada Border Services Agency | Agence des services frontaliers du Canada,2016-2017-cbsa-asfc-7,cbsa-asfc - 07,cbsa-asfc - Customs Sufferance Warehouse Licence Application,
