owner_org,fiscal_yr,service_id,service_name_en,service_name_fr,external_internal,service_type,special_designations,service_description_en,service_description_fr,authority_en,authority_fr,service_url_en,service_url_fr,program_name_en,program_name_fr,program_id_code,client_target_groups,service_fee,cra_business_number,use_of_sin,online_applications,web_visits_info_service,calls_received,in_person_applications,email_applications,fax_applications,postal_mail_applications,e_registration,e_authentication,e_application,e_decision,e_issuance,e_feedback,client_feedback,special_remarks_en,special_remarks_fr,harmonized_service_id,harmonized_service_name_en,harmonized_service_name_fr,owner_org_title
aafc-aac,2017-2018,AAFC_AAC-001,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,EX,RES,4,Provides financial counselling and mediation services to farmers in financial difficulty.,Offre des services de consultation financière et de médiation aux agriculteurs qui éprouvent des difficultés financières,Farm Debt Mediation Act,Loi sur la médiation en matière d’endettement agricole,http://www.agr.gc.ca/eng/programs-and-services/farm-debt-mediation-service/?id=1536081857309,http://www.agr.gc.ca/fra/programmes-et-services/service-de-mediation-en-matiere-d-endettement-agricole/?id=1536081857309,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,2.2.1,ES,N,N,NA,149,20863,4819,3,443,0,185,NA,NA,Y,NA,N,NA,ONL,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service


The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",,aafc-aac - 01,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
aafc-aac,2017-2018,AAFC_AAC-002,"AgriAssurance
National Industry Association Component

Formerly
AgriMarketing Program
Assurance Systems",Programme Agri-assurance : Volet Associations nationales de l'industrie,EX,RES,1,"Provides support, at the national level, to help industry develop and adopt systems, standards and tools to support quality attributes, health and safety claims about Canadian agricultural and agri-food products.","Le programme finance des projets, au niveau national, destinés à aider l'industrie à élaborer et à adopter des systèmes, des normes et des outils permettant de formuler des affirmations pertinentes sur la qualité, la santé et la salubrité des produits agricoles et agroalimentaires canadiens.",TB Submission,Présentation au Conseil du Trésor,http://www.agr.gc.ca/eng/programs-and-services/agriassurance-program-national-industry-association-component/?id=1515010952950,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-assurance-volet-associations-nationales-de-l-industrie/?id=1515010952950,AgriMarketing,Programme Agri-marketing,1.2.4,ES,N,Y,NA,23,1276,0,0,1,0,0,NA,NA,Y,Y,N,Y,ONL,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",,aafc-aac - 02,"AgriAssurance
 National Industry Association Component",Programme Agri-assurance : Volet Associations nationales de l'industrie,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
aafc-aac,2017-2018,AAFC_AAC-003,"AgriMarketing Program
National Industry Association

Formerly
AgriMarketing Program 
Market Development",Programme Agri-marketing : Volet Associations nationales de l'industrie,EX,RES,1,"Provides support to increase and diversify exports to international markets and seize domestic market opportunities through industry-led promotional activities that differentiate Canadian products and producers, and leverage Canada’s reputation for high quality and safe food.","Le programme finance des projets qui vise à accroître et à diversifier les exportations à l'étranger, et à saisir des débouchés sur le marché national par l'entremise d'activités promotionnelles dirigées par l'industrie qui distinguent les produits et producteurs canadiens et misent sur la réputation du Canada comme producteur d'aliments de grande qualité et sans danger pour la santé.",TB Submission,Présentation au Conseil du Trésor,http://www.agr.gc.ca/eng/programs-and-services/agrimarketing-program-national-industry-association-component/?id=1515092171804,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-marketing-volet-associations-nationales-de-l-industrie/?id=1515092171804,AgriMarketing,Programme Agri-marketing,12.3,ES,N,Y,NA,46,1507,0,0,0,0,0,NA,NA,Y,Y,N,Y,ONL,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",,aafc-aac - 03,"AgriMarketing Program
 National Industry Association",Programme Agri-marketing : Volet Associations nationales de l'industrie,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
aafc-aac,2017-2018,AAFC_AAC-009,AgriRisk,Agri-risques,EX,RES,8,"Provides support for research and development, implementation and administration of new risk management tools for use in the agriculture sector.","Offre des renseignements sur la structure et le rendement du marché, des prévisions, des rapports sur les marchés, des documents d'information sur les politiques et des analyses de différents produits agricoles.",TB Submission,Présentation au Conseil du Trésor,http://www.agr.gc.ca/eng/programs-and-services/agririsk-initiatives-administrative-capacity-building-stream/?id=1530816648717,http://www.agr.gc.ca/fra/programmes-et-services/initiatives-agri-risques-volet-de-renforcement-des-capacites-administratives/?id=1530816648717,AgriRisk Initiatives,Initiatives Agri-risques,1.1.5,IO,N,NA,NA,45,0,2,0,0,0,0,Y,NA,Y,Y,Y,Y,ONL,"The use of""NA"" in the CRA Business Number column is an indication that this service is not delivered to a business

The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",,aafc-aac - 09,AgriRisk,Agri-risques,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
aafc-aac,2017-2018,AAFC_AAC-005,"AgriInnovate Program 

Formerly
AgriInnovation Program 
Enabling Commercialization and Adoption (Stream C)",Programme Agri-innover,EX,RES,1,"This program provides repayable contributions for projects that aim to accelerate the demonstration, commercialization and/or adoption of innovative products, technologies, processes or services that increase agri-sector competitiveness and sustainability.","Le Programme offre des contributions financières remboursables pour des projets qui visent à accélérer la démonstration, la commercialisation et l'adoption de produits, technologies, procédés ou services innovateurs afin d'accroître la compétitivité et la viabilité dans le secteur de l'agriculture.",TB Submission,Présentation au Conseil du Trésor,http://www.agr.gc.ca/eng/programs-and-services/agriinnovate-program/?id=1515682916298,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-innover/?id=1515682916298,AgriInnovate,Agri-inoover,2.1.4,IO,N,NA,NA,2,3535,83,0,124,0,0,NA,NA,Y,Y,N,Y,ONL,"The use of""NA"" in the CRA Business Number column is an indication that this service is not delivered to a business

The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",,aafc-aac - 05,AgriInnovate Program ,Programme Agri-innover,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
aafc-aac,2017-2018,AAFC_AAC-006,AgriInvest,Agri-investissement,EX,RES,1,"Provides matching contributions to producers who make annual deposits to an AgriInvest account, to help manage income declines or make investments to mitigate risks or improve market income.","Offre des contributions de contrepartie aux producteurs qui font des dépôts annuels dans un compte Agri-investissement, afin de gérer les baisses de revenus ou de faire des investissements dans le but d'atténuer les risques ou d'améliorer les revenus tirés du marché.",Farm Income Protection Act; TB Submission,Loi sur la protection du revenu agricole ;  Présentation au Conseil du Trésor,http://www.agr.gc.ca/eng/?id=1291828779399,http://www.agr.gc.ca/fra/?id=1291828779399,AgriInvest,Agri-investissement,1.1.2,ES,N,Y,Y,109772,2639,0,0,14043,0,0,Y,Y,Y,Y,Y,Y,ONL,"

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service.",,aafc-aac - 06,AgriInvest,Agri-investissement,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
aafc-aac,2017-2018,AAFC_AAC-007,AgriStability,Agri-stabilité,EX,RES,1,Provides income support to producers who experience a large margin decline.,Offre un soutien du revenu aux producteurs qui subissent une baisse importante de leur marge.,Farm Income Protection Act; TB Submission,Loi sur la protection du revenu agricole ;  Présentation au Conseil du Trésor,http://www.agr.gc.ca/eng/?id=1291990433266,http://www.agr.gc.ca/fra/?id=1291990433266,AgriStability,Agri-stabilité,1.1.1,ES,N,Y,Y,2852,32969,0,0,3857,0,0,Y,NA,Y,Y,Y,Y,ONL,"
The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service.",,aafc-aac - 07,AgriStability,Agri-stabilité,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
aafc-aac,2017-2018,AAFC_AAC-011,"AgriCompetitiveness

Formerly
AgriCompetitiveness Program 
Fostering Business Development",Programme Agri-compétitivité,EX,RES,8,"Provides support to national not-for-profit organizations to undertake activities that support agri-businesses to transition, adapt and improve their profitability and resilience by nurturing entrepreneurial capacity.","Offre de l'aide aux organisations nationales sans but lucratif pour réaliser des activités permettant aux entreprises agricoles d'effectuer la transition, de s'adapter et d'améliorer leur rentabilité et leur résilience en développant la capacité entrepreneuriale.",TB Submission,Présentation au Conseil du Trésor,http://www.agr.gc.ca/eng/programs-and-services/agricompetitiveness-program/?id=1517335776475,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-competitivite/?id=1517335776475,AgriCompetitiveness,Agri-compétitivité,2.2.2,ES,N,Y,NA,8,1531,0,0,1,0,0,NA,NA,Y,Y,N,Y,ONL,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",,aafc-aac - 11,AgriCompetitiveness,Programme Agri-compétitivité,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
aafc-aac,2017-2018,AAFC_AAC-014,Agricultural Greenhouse Gas Program,Programme de lutte contre les gaz à effet de serre en agriculture,EX,RES,8,Helps producers find ways to mitigate greenhouse gas (GHG) emissions from their farming operations,Aide les producteurs à trouver des moyens d'atténuer les émissions de gaz à effet de serre (GES) liées à leurs activités agricoles.,TB Submission,Présentation au Conseil du Trésor,http://www.agr.gc.ca/eng/programs-and-services/agricultural-greenhouse-gases-program-step-1-what-this-program-offers/?id=1461247059955,http://www.agr.gc.ca/fra/programmes-et-services/programme-de-lutte-contre-les-gaz-a-effet-de-serre-en-agriculture-etape-1-ce-qu-offre-ce-programme/?id=1461247059955,Agricultural Greenhouse Gases,Programme de lutte contre les gaz à effet de serre en agriculture,2.1.7,IO,N,NA,NA,0,3964,0,0,45,0,0,NA,NA,Y,Y,N,Y,ONL,"The use of""NA"" in the CRA Business Number column is an indication that this service is not delivered to a business

The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",,aafc-aac - 14,Agricultural Greenhouse Gas Program,Programme de lutte contre les gaz à effet de serre en agriculture,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
aafc-aac,2017-2018,AAFC_AAC-019,Saint-Hyacinthe Research and Development Centre's Industrial Program,Programme industriel du Centre de recherche et de développement de Saint-Hyacinthe,EX,RES,8,Provides clients with direct access to sophisticated equipment and a versatile R&D environment to support agri-food companies with small-scale food processing and testing needs and fosters innovation in the area of food research.,Donne aux clients un accès direct à l'équipement de pointe et à un environnement de R-D polyvalent pour aider les entreprises agroalimentaires à répondre à leurs besoins de transformation d'aliments et d'évaluation à petite échelle et pour favoriser l'innovation dans le domaine de la recherche sur les aliments.,A-Based/Order in Council,Services votés / décret,http://www.agr.gc.ca/eng/?id=1299270709562,http://www.agr.gc.ca/fra/?id=1299270709562,Agriculture and Agri-Food Canada Food Research and Development Centre's Industrial Program,Programme industriel du Centre de recherche et de développement de Saint-Hyacinthe,2.1.1,ES,Y,N,NA,0,2519,43,0,0,0,37,Y,NA,Y,Y,N,Y,ONL,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service
 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",,aafc-aac - 19,Saint-Hyacinthe Research and Development Centre's Industrial Program,Programme industriel du Centre de recherche et de développement de Saint-Hyacinthe,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
aafc-aac,2017-2018,AAFC_AAC-020,Office of Intellectual Property and Commercialization (OIPC),Bureau de la propriété intellectuelle et de la commercialisation (BPIC),EX,RES,8,Supports the development and transfer of the results of research efforts by the Science and Technology Branch (STB) of Agriculture and Agri-Food Canada (AAFC).,Appuie le développement et le transfert des résultats des activités de recherche par la Direction générale des sciences et de la technologie (DGST) d'Agriculture et Agroalimentaire Canada (AAC).,A-Base,Services votés,http://www.agr.gc.ca/eng/programs-and-services/office-of-intellectual-property-and-commercialization/?id=1296842751916,http://www.agr.gc.ca/fra/programmes-et-services/bureau-de-la-propriete-intellectuelle-et-de-la-commercialisation/?id=1296842751916,Office of Intellectual Properities and Commercialization,Bureau de la propriété intellectuelle et de la commercialisation,2.1,ES,N,N,NA,80,1947,0,0,0,0,0,NA,NA,Y,Y,N,Y,ONL,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",,aafc-aac - 20,Office of Intellectual Property and Commercialization (OIPC),Bureau de la propriété intellectuelle et de la commercialisation (BPIC),Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
