owner_org,fiscal_yr,service_id,service_std_id,service_std_en,service_std_fr,service_std_url_en,service_std_url_fr,service_std_type,service_std_target,gcss_tool_fiscal_yr,realtime_result_url_en,realtime_result_url_fr,q1_performance_result,q1_business_volume,q2_performance_result,q2_business_volume,q3_performance_result,q3_business_volume,q4_performance_result,q4_business_volume,owner_org_title,performance,Standard Unique Identifier,New Service ID
aafc-aac,2017-2018,AAFC_AAC-003,AAFC-003-04,Send you a payment within 30 business days of receipt of a duly completed and documented claim. This is applicable only if an agreement is signed,Expédier un paiement dans les 30 jours ouvrables suivant la réception d’une demande de règlement dûment remplie et justifiée. Cette mesure s’applique uniquement si une entente est signée,http://www.agr.gc.ca/eng/programs-and-services/agrimarketing-program-national-industry-association-component/step-4-after-you-apply/?id=1515092708579,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-marketing-volet-associations-nationales-de-l-industrie/etape-4-apres-avoir-presente-votre-demande/?id=1515092708579,TML,80.00%,2017-2018,http://www.agr.gc.ca/eng/programs-and-services/agrimarketing-program-national-industry-association-component/step-3-how-to-apply/?id=1515092640615,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-marketing-volet-associations-nationales-de-l-industrie/etape-3-comment-presenter-une-demande/?id=1515092640615,24,26,40,48,28,29,19,21,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,89.50%,2017-2018-aafc-aac-003,aafc-aac - 03
aafc-aac,2017-2018,AAFC_AAC-004,AAFC-004-03,Notify you in writing of final approval or rejection within 100 business days of the application being deemed complete,D’évaluer votre demande et de vous envoyer une lettre d’approbation ou de rejet dans un délai de 100 jours ouvrables à compter de la date de réception de votre demande complète,"http://www.agr.gc.ca/eng/programs-and-services/agriscience-program-clusters/step-4-after-you-apply/?id=1511186588663
http://www.agr.gc.ca/eng/programs-and-services/agriscience-program-projects/step-4-after-you-apply/?id=1516993304377","http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-science-grappes/etape-4-apres-avoir-presente-votre-demande/?id=1511186588663
http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-science-projets/etape-4-apres-avoir-presente-votre-demande/?id=1516993304377",ACS,80.00%,2017-2018,http://www.agr.gc.ca/eng/programs-and-services/agriscience-program-projects/step-3-how-to-apply/?id=1516993224729,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-science-projets/etape-3-comment-presenter-une-demande/?id=1516993224729,7,7,3,3,3,3,0,0,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,100.00%,2017-2018-aafc-aac-004,aafc-aac - 04
aafc-aac,2017-2018,AAFC_AAC-004,AAFC-004-02,Send you an email acknowledging receipt of your application within 1 business day,D’accuser réception de votre demande dans un délai d’un jour ouvrable,"http://www.agr.gc.ca/eng/programs-and-services/agriscience-program-clusters/step-4-after-you-apply/?id=1511186588663
http://www.agr.gc.ca/eng/programs-and-services/agriscience-program-projects/step-4-after-you-apply/?id=1516993304377","http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-science-grappes/etape-4-apres-avoir-presente-votre-demande/?id=1511186588663
http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-science-projets/etape-4-apres-avoir-presente-votre-demande/?id=1516993304377",TML,80.00%,2017-2018,http://www.agr.gc.ca/eng/programs-and-services/agriscience-program-projects/step-3-how-to-apply/?id=1516993224729,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-science-projets/etape-3-comment-presenter-une-demande/?id=1516993224729,8,8,3,3,0,0,0,0,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,100.00%,2017-2018-aafc-aac-004,aafc-aac - 04
aafc-aac,2017-2018,AAFC_AAC-004,AAFC-004-01,Respond to general inquiries made to our phone number or email address before the end of the next business day,De répondre aux demandes de renseignements générales que nous recevons par téléphone ou par courriel avant la fin du jour ouvrable suivant,"http://www.agr.gc.ca/eng/programs-and-services/agriscience-program-clusters/step-4-after-you-apply/?id=1511186588663
http://www.agr.gc.ca/eng/programs-and-services/agriscience-program-projects/step-4-after-you-apply/?id=1516993304377","http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-science-grappes/etape-4-apres-avoir-presente-votre-demande/?id=1511186588663
http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-science-projets/etape-4-apres-avoir-presente-votre-demande/?id=1516993304377",TML,80.00%,2017-2018,http://www.agr.gc.ca/eng/programs-and-services/agriscience-program-projects/step-3-how-to-apply/?id=1516993224729,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-science-projets/etape-3-comment-presenter-une-demande/?id=1516993224729,127,130,45,46,59,112,48,49,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,82.80%,2017-2018-aafc-aac-004,aafc-aac - 04
aafc-aac,2017-2018,AAFC_AAC-004,AAFC-004-04,Send you a payment within 30 business days of receipt of a duly completed and documented claim. This is applicable only if an agreement is signed,Expédier un paiement dans les 30 jours ouvrables suivant la réception d’une demande de règlement dûment remplie et justifiée. Cette mesure s’applique uniquement si une entente est signée,"http://www.agr.gc.ca/eng/programs-and-services/agriscience-program-clusters/step-4-after-you-apply/?id=1511186588663
http://www.agr.gc.ca/eng/programs-and-services/agriscience-program-projects/step-4-after-you-apply/?id=1516993304377","http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-science-grappes/etape-4-apres-avoir-presente-votre-demande/?id=1511186588663
http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-science-projets/etape-4-apres-avoir-presente-votre-demande/?id=1516993304377",TML,80.00%,2017-2018,http://www.agr.gc.ca/eng/programs-and-services/agriscience-program-projects/step-3-how-to-apply/?id=1516993224729,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-science-projets/etape-3-comment-presenter-une-demande/?id=1516993224729,47,50,48,57,71,76,28,30,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,91.10%,2017-2018-aafc-aac-004,aafc-aac - 04
aafc-aac,2017-2018,AAFC_AAC-005,AAFC-005-02,Send you an email acknowledging receipt of your application within 1 business day,D'accuser réception de votre demande dans un délai d'un jour ouvrable,http://www.agr.gc.ca/eng/programs-and-services/agriinnovate-program/step-4-after-you-apply/?id=1515683224863,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-innover/etape-4-apres-avoir-presente-votre-demande/?id=1515683224863,TML,80.00%,2017-2018,http://www.agr.gc.ca/eng/programs-and-services/agriinnovate-program/step-3-how-to-apply/?id=1515683130392,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-innover/etape-3-comment-presenter-une-demande/?id=1515683130392,5,5,2,2,0,0,0,0,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,100.00%,2017-2018-aafc-aac-005,aafc-aac - 05
aafc-aac,2017-2018,AAFC_AAC-005,AAFC-005-01,Respond to general inquiries made to our phone number or email address before the end of the next business day,Répondre aux demandes de renseignements générales que nous recevons par téléphone ou par courriel avant la fin du jour ouvrable suivant,http://www.agr.gc.ca/eng/programs-and-services/agriinnovate-program/step-4-after-you-apply/?id=1515683224863,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-innover/etape-4-apres-avoir-presente-votre-demande/?id=1515683224863,TML,80.00%,2017-2018,http://www.agr.gc.ca/eng/programs-and-services/agriinnovate-program/step-3-how-to-apply/?id=1515683130392,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-innover/etape-3-comment-presenter-une-demande/?id=1515683130392,34,34,70,70,66,66,19,19,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,100.00%,2017-2018-aafc-aac-005,aafc-aac - 05
aafc-aac,2017-2018,AAFC_AAC-005,AAFC-005-03,Notify you in writing of final approval or rejection within 100 business days of the application being deemed complete,3.d'évaluer votre demande et de vous envoyer une lettre d'approbation ou de rejet dans un délai de 100 jours ouvrables à compter de la date de réception de votre demande complète,http://www.agr.gc.ca/eng/programs-and-services/agriinnovate-program/step-4-after-you-apply/?id=1515683224863,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-innover/etape-4-apres-avoir-presente-votre-demande/?id=1515683224863,ACS,80.00%,2017-2018,http://www.agr.gc.ca/eng/programs-and-services/agriinnovate-program/step-3-how-to-apply/?id=1515683130392,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-innover/etape-3-comment-presenter-une-demande/?id=1515683130392,2,4,2,6,0,1,0,0,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,36.40%,2017-2018-aafc-aac-005,aafc-aac - 05
aafc-aac,2017-2018,AAFC_AAC-005,AAFC-005-04,Send you a payment within 30 business days of receipt of a duly completed and documented claim. This is applicable only if an agreement is signed,Expédier un paiement dans les 30 jours ouvrables suivant la réception d'une demande de règlement dûment remplie et justifiée. Cette mesure s'applique uniquement si une entente est signée,http://www.agr.gc.ca/eng/programs-and-services/agriinnovate-program/step-4-after-you-apply/?id=1515683224863,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-innover/etape-4-apres-avoir-presente-votre-demande/?id=1515683224863,TML,80.00%,2017-2018,http://www.agr.gc.ca/eng/programs-and-services/agriinnovate-program/step-3-how-to-apply/?id=1515683130392,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-innover/etape-3-comment-presenter-une-demande/?id=1515683130392,9,10,4,4,17,17,9,9,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,97.50%,2017-2018-aafc-aac-005,aafc-aac - 05
aafc-aac,2017-2018,AAFC_AAC-006,AAFC-006-01,Percent of applications processed to issuance of the deposit notice in 45 days or less,Traiter les demandes et communiquer les résultats aux participants dans un délai de 45 jours,http://www.agr.gc.ca/eng/?id=1291909724519,http://www.agr.gc.ca/fra/?id=1291909724519,TML,80.00%,2017-2018,http://www.agr.gc.ca/eng/?id=1291909724519,http://www.agr.gc.ca/fra/?id=1291909724519,77271,77494,15953,16332,8844,9025,2622,3186,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,98.70%,2017-2018-aafc-aac-006,aafc-aac - 06
aafc-aac,2017-2018,AAFC_AAC-007,AAFC-007-01,Our goal is to process 75% of completed applications within 75 days of receipt,Notre objectif est de traiter 75 % des demandes remplies dans les 75 jours suivant leur réception.,http://www.agr.gc.ca/eng/?id=1292006524995,http://www.agr.gc.ca/fra/?id=1292006524995,ACY,80.00%,2017-2018,http://www.agr.gc.ca/eng/?id=1292006524995,http://www.agr.gc.ca/fra/?id=1292006524995,1563,1612,1079,1307,1833,2043,394,943,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,82.50%,2017-2018-aafc-aac-007,aafc-aac - 07
aafc-aac,2017-2018,AAFC_AAC-008,AAFC-008-04,"Horticulture Industry
Reports: Annual Update Frequency","Industrie horticole
Fréquence de la mise à jour des rapports annuels",http://www.agr.gc.ca/eng/industry-markets-and-trade/canadian-agri-food-sector-intelligence/horticulture/horticulture-sector-reports/?id=1368482338314,http://www.agr.gc.ca/fra/industrie-marches-et-commerce/renseignements-sur-les-secteurs-canadiens-de-lagroalimentaire/industrie-horticole/rapports-sur-l-industrie-horticole/?id=1368482338314,ACY,80.00%,2016-2017,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/?id=1481145978400,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/?id=1481145978400,0,0,3,3,3,3,0,0,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,100.00%,2017-2018-aafc-aac-008,aafc-aac - 08
aafc-aac,2017-2018,AAFC_AAC-008,AAFC-008-9,"Red Meat & Livestock Sector
Reports: Monthly Update Frequency","Secteur des viandes rouges et bétail
Fréquence de la mise à jour des rapports mensuels",http://www.agr.gc.ca/eng/industry-markets-and-trade/canadian-agri-food-sector-intelligence/red-meat-and-livestock/service-standards-for-red-meat-and-livestock-reports/?id=1480968240072,http://www.agr.gc.ca/fra/industrie-marches-et-commerce/renseignements-sur-les-secteurs-canadiens-de-lagroalimentaire/viande-rouge-et-betail/normes-de-service-relatives-aux-rapports-sur-les-animaux-a-viande-rouge-et-le-betail/?id=1480968240072,ACY,80.00%,2016-2017,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/?id=1481145978400,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/?id=1481145978400,9,9,9,9,9,9,9,9,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,100.00%,2017-2018-aafc-aac-008,aafc-aac - 08
aafc-aac,2017-2018,AAFC_AAC-008,AAFC-008-01,"Horticulture Industry
Reports: Daily Update Frequency","Industrie horticole
Fréquence de la mise à jour des rapports quotidiens",http://www.agr.gc.ca/eng/industry-markets-and-trade/canadian-agri-food-sector-intelligence/horticulture/horticulture-sector-reports/?id=1368482338314,http://www.agr.gc.ca/fra/industrie-marches-et-commerce/renseignements-sur-les-secteurs-canadiens-de-lagroalimentaire/industrie-horticole/rapports-sur-l-industrie-horticole/?id=1368482338314,ACY,80.00%,2016-2017,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/?id=1481145978400,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/?id=1481145978400,116,128,118,130,125,126,62,62,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,94.40%,2017-2018-aafc-aac-008,aafc-aac - 08
aafc-aac,2017-2018,AAFC_AAC-008,AAFC-008-02,"Horticulture Industry
Reports: Weekly Update Frequency","Industrie horticole
Fréquence de la mise à jour des rapports hebdomadaires",http://www.agr.gc.ca/eng/industry-markets-and-trade/canadian-agri-food-sector-intelligence/horticulture/horticulture-sector-reports/?id=1368482338314,http://www.agr.gc.ca/fra/industrie-marches-et-commerce/renseignements-sur-les-secteurs-canadiens-de-lagroalimentaire/industrie-horticole/rapports-sur-l-industrie-horticole/?id=1368482338314,ACY,80.00%,2016-2017,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/?id=1481145978400,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/?id=1481145978400,58,78,57,78,63,78,127,144,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,80.70%,2017-2018-aafc-aac-008,aafc-aac - 08
aafc-aac,2017-2018,AAFC_AAC-008,AAFC-008-03,"Horticulture Industry
Reports: Monthly Update Frequency","Industrie horticole
Fréquence de la mise à jour des rapports mensuels",http://www.agr.gc.ca/eng/industry-markets-and-trade/canadian-agri-food-sector-intelligence/horticulture/horticulture-sector-reports/?id=1368482338314,http://www.agr.gc.ca/fra/industrie-marches-et-commerce/renseignements-sur-les-secteurs-canadiens-de-lagroalimentaire/industrie-horticole/rapports-sur-l-industrie-horticole/?id=1368482338314,ACY,80.00%,2016-2017,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/?id=1481145978400,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/?id=1481145978400,18,18,4,4,2,6,17,18,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,89.10%,2017-2018-aafc-aac-008,aafc-aac - 08
aafc-aac,2017-2018,AAFC_AAC-008,AAFC-008-05,"Poultry & Egg Sector
Reports: Weekly Update Fequency","Secteur de volaille et œufs
Fréquence de la mise à jour des rapports hebdomadaires",http://www.agr.gc.ca/eng/industry-markets-and-trade/canadian-agri-food-sector-intelligence/poultry-and-eggs/service-standards-for-poultry-and-egg-market-information/?id=1481029938239,http://www.agr.gc.ca/fra/industrie-marches-et-commerce/renseignements-sur-les-secteurs-canadiens-de-lagroalimentaire/volaille-et-ufs/normes-de-service-pour-l-information-sur-le-marche-de-la-volaille-et-des-ufs/?id=1481029938239,ACY,80.00%,2016-2017,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/?id=1481145978400,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/?id=1481145978400,511,533,595,611,591,611,570,611,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,95.80%,2017-2018-aafc-aac-008,aafc-aac - 08
